,Homme,Femme,Homme,Femme,Homme,Femme,Homme,Femme,Homme,Femme,Homme,Femme,Homme,Femme,Homme,Femme
,Agriculteurs exploitants,Agriculteurs exploitants,Artisans commerçants chefs d'entreprise,Artisans commerçants chefs d'entreprise,Cadres et professions intellectuelles supérieures,Cadres et professions intellectuelles supérieures,Professions intermédiaires,Professions intermédiaires,Employés,Employés,Ouvriers,Ouvriers,Retraités,Retraités,Autres personnes sans activité professionnelle,Autres personnes sans activité professionnelle
15 à 19 ans,5,0,88,26,16,30,423,323,1374,2237,2829,272,0,0,23951,24460
20 à 24 ans,16,0,568,290,1087,856,3355,3378,4912,8721,6177,915,0,0,9204,10857
25 à 29 ans,25,25,1626,792,3672,2870,5221,7478,5212,10507,7062,1118,0,0,3045,4669
30 à 34 ans,72,28,2705,1124,5052,3923,6014,7981,4688,10770,7462,1200,9,11,1963,4644
35 à 39 ans,64,35,3385,1386,6157,4757,6515,7944,4656,11492,6814,1420,54,24,1793,4505
40 à 44 ans,89,43,4113,1670,6884,4629,6350,8471,4814,11733,6838,1481,28,49,1802,3957
45 à 49 ans,97,5,4569,2046,6887,4900,6559,8378,4791,13758,7038,1678,101,124,2241,4458
50 à 54 ans,99,95,5048,1813,6493,4803,6496,7924,4447,14123,7214,1884,243,341,2880,5143
55 à 59 ans,152,61,4334,1536,6077,3629,5721,6904,3823,11906,5933,1484,1774,1555,3171,6620
60 à 64 ans,61,41,2509,971,3335,1960,2272,3240,1621,5879,2448,753,14353,15771,1643,5051
65 ans ou plus,90,84,1621,893,1778,669,1058,773,564,2089,804,242,94045,124385,1666,11967
Ensemble,771,417,30567,12548,47439,33027,49985,62794,40902,103214,60618,12447,110606,142260,53361,86332