Age;Hommes;Femmes;Ensemble
Moins de 5 ans;27785;26442 
5 à 9 ans;29501;28289
10 à 14 ans;29221;28370
15 à 19 ans;29149;28028
20 à 24 ans;25990;25698
25 à 29 ans;26780;28941
30 à 34 ans;29377;31814
35 à 39 ans;31138;33928
40 à 44 ans;32983;34418
45 à 49 ans;34396;37662
50 à 54 ans;35447;39119
55 à 59 ans;32857;36345
60 à 64 ans;30098;35826
65 à 69 ans;30705;36867
70 à 74 ans;24988;31876
75 à 79 ans;19700;25991
80 à 84 ans;15032;22136
85 à 89 ans;9695;16487
90 à 94 ans;3655;7819
95 à 99 ans;631;1872
100 ans ou plus;93;257
Ensemble;499222;558186